Player,FGM,FG Att,Blk,XPM,XPA,XP_Blk,1-19_A,1-19_M,20-29_A,20-29_M,30-39_A,30-39_M,40-49_A,40-49_M,50+_A,50+_M,PSs,Lng,Team
Danny Boyd,5,5,0,7,7,0,0,0,3,3,2,2,0,0,0,0,1,33,JAC
Seth Marler,20,33,3,30,30,0,0,0,11,10,8,4,12,5,2,1,1,53,JAC
Mike Hollis,200,250,7,279,282,0,5,5,75,65,78,67,73,50,19,13,8,54,JAC
Josh Scobee,241,301,7,323,329,3,4,4,66,64,80,71,109,76,42,26,12,59,JAC
Jason Myers,120,143,3,146,165,0,0,0,31,30,40,37,42,35,30,18,5,58,JAC
Bob Stein,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,KC
Fletcher Smith,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,KC
James Hamrick,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,40,KC
Tommy Brooker,2,2,0,13,13,0,0,0,0,0,0,0,0,0,0,0,1,0,KC
Mike Mercer,60,101,0,127,132,0,0,0,0,0,0,0,0,0,0,0,5,0,KC
Justin Medlock,8,12,1,23,23,0,0,0,3,3,4,3,4,2,1,0,2,45,KC
Harrison Butker,96,107,1,138,145,1,0,0,26,26,34,32,32,29,15,9,3,56,KC
Cairo Santos,100,125,2,144,149,1,1,1,29,27,42,37,36,27,17,8,6,54,KC
Jan Stenerud,373,558,0,580,601,0,0,0,0,0,0,0,0,0,0,0,19,54,KC
Ryan Succop,236,287,7,338,348,4,2,2,62,60,85,78,101,76,37,20,11,54,KC
Lawrence Tynes,190,233,6,357,363,0,4,4,80,77,72,58,56,40,21,11,9,53,KC
Connor Barth,168,203,5,222,224,0,3,3,51,50,51,46,68,51,30,18,9,57,KC
Drew Kaser,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,LAC
Nick Rose,1,3,1,5,6,1,0,0,1,1,0,0,1,0,1,0,1,25,LAC
Ty Long,7,9,0,9,9,0,0,0,0,0,3,2,5,4,1,1,1,51,LAC
Younghoe Koo,26,32,1,24,25,0,0,0,8,8,10,9,13,8,1,1,2,50,LAC
Mike Badgley,28,32,0,46,47,0,0,0,9,9,7,7,13,11,3,1,2,59,LAC
Cliff Olander,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LAC
Jeff Gaffney,3,6,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1,27,LAC
